0TextId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect
FRA02501_Loti 1883 911 98 92 8 10 0 5 5 1 4 8 7 1 12 10 14 5 4 0 0 0 0 1 4 1 1 1
FRA06501_Gyp 1897 649 111 102 5 2 3 11 3 0 0 19 6 10 0 2 7 6 5 1 0 0 2 0 14 1 1 1
FRA01601_GautierJ 1887 1578 151 117 8 1 5 26 16 0 1 16 3 18 12 3 12 8 7 0 0 0 0 1 6 0 0 2
FRA04102_Erckmann 1863 840 101 92 15 1 0 8 6 0 1 3 2 7 5 0 3 10 7 1 1 0 0 0 3 1 0 1
FRA06001_Rebell 1902 788 94 71 3 2 1 6 2 1 4 5 7 6 6 3 10 6 7 0 1 0 1 0 3 1 2 1
FRA06701_Uchard 1882 872 104 105 4 8 3 9 9 2 3 10 5 3 5 0 9 9 10 0 4 1 2 0 0 2 0 1
FRA01101_Dombre 1890 738 99 88 4 0 2 14 4 3 0 19 1 7 3 3 2 4 10 0 0 2 0 0 13 0 0 0
FRA05301_Galopin 1906 780 85 86 3 5 5 8 5 0 1 7 9 4 8 0 7 4 4 1 0 0 1 0 0 2 0 2
FRA01203_Feval 1845 1059 107 114 4 5 5 9 6 4 0 9 8 11 7 5 5 6 10 3 0 2 1 1 4 0 0 1
FRA05801_Mille 1912 764 100 103 3 6 2 12 3 0 1 20 2 4 6 5 7 3 12 0 1 0 0 1 1 2 0 0
FRA04601_Bazin 1907 1195 140 115 5 7 6 17 5 0 0 10 13 3 11 5 18 11 5 1 2 3 1 3 1 1 2 1
FRA01002_DelarueMardrus 1919 490 57 86 1 6 0 1 3 0 1 15 2 4 0 1 1 5 5 0 0 0 0 0 2 0 2 0
FRA05901_Moselly 1907 1069 69 64 7 5 2 3 7 3 0 9 7 0 8 1 5 2 4 0 1 0 0 0 5 0 1 1
FRA01603_GautierJ 1900 407 37 40 2 2 0 3 3 0 0 1 2 5 5 0 3 4 0 0 1 0 0 0 1 0 0 0
FRA02301_Greville 1888 928 136 112 6 6 4 30 5 0 1 20 5 6 2 3 8 5 6 1 1 1 0 0 20 2 1 0
FRA02101_Girardin 1854 1099 165 163 15 2 4 21 6 2 1 26 5 11 6 4 14 7 13 0 0 0 0 1 7 0 2 4
FRA01602_GautierJ 1893 782 64 60 6 2 1 9 5 0 0 3 1 6 6 2 3 2 3 1 0 0 0 0 1 0 2 0
FRA02901_Noailles 1903 765 86 75 10 9 1 9 8 0 1 7 9 5 4 1 6 3 3 0 0 0 0 0 8 0 1 0
FRA06601_Peladan 1902 1004 132 123 4 4 1 11 2 0 0 14 7 11 3 2 5 11 4 0 0 2 1 0 17 1 9 4
FRA00503_Balzac 1854 1143 110 124 8 2 1 7 14 4 1 7 11 6 5 2 6 18 2 0 1 1 0 0 1 3 0 1
FRA00201_Audoux 1925 615 65 53 13 4 1 7 4 0 1 3 9 2 10 1 0 0 1 0 0 0 0 0 3 2 1 0
FRA02001_Gilbert 1912 283 30 26 0 1 0 4 5 0 0 1 2 1 4 0 1 3 6 0 0 0 2 3 0 0 0 0
FRA02802_Mirbeau 1883 726 84 80 0 0 4 9 5 4 2 16 4 6 4 1 9 6 2 0 1 1 1 0 1 0 0 1
FRA04301_Achard 1847 2691 299 303 19 19 5 34 15 4 0 29 12 17 20 13 17 16 25 3 7 1 0 2 15 3 3 4
FRA06101_Sandeau 1848 818 96 100 3 6 2 8 5 1 1 9 10 7 3 3 5 8 3 2 1 1 0 1 2 3 4 1
FRA03704_Sand 1840 1920 278 286 11 15 2 30 19 3 1 35 19 19 9 4 13 11 23 2 2 3 2 1 18 2 4 2
FRA04001_Verne 1878 1609 220 179 8 4 4 9 8 5 4 19 26 9 6 7 18 29 21 8 7 1 2 6 6 6 3 3
FRA04901_Dumas 1845 3096 426 320 22 3 5 58 16 6 5 49 26 29 24 29 30 22 17 10 2 1 2 2 22 3 0 7
