 	SPACE	 
feuilleter	VERB	feuilleter
tous	ADJ	tout
les	DET	le
livres	NOUN	livre
de	ADP	de
la	DET	le
mosquée	NOUN	mosquée
de	ADP	de
sainte-Sophie	PROPN	sainte-Sophie
.	PUNCT	.
De	ADP	de
là	ADV	là
il	PRON	il
fut	AUX	être
en	ADP	en
égypte	PROPN	égypte
,	PUNCT	,
chez	ADP	chez
les	DET	le
cophtes	NOUN	cophte
;	PUNCT	;
puis	CCONJ	puis
chez	ADP	chez
les	DET	le
maronites	NOUN	maronite
du	ADP	de
mont	NOUN	mont
Liban	PROPN	Liban
,	PUNCT	,
les	DET	le
moines	NOUN	moine
du	ADP	de
mont	NOUN	mont
Carmel	PROPN	Carmel
;	PUNCT	;
de	ADP	de
là	ADV	là
à	ADP	à
Sana	PROPN	Sana
,	PUNCT	,
en	ADP	en
Arabie	PROPN	Arabie
;	PUNCT	;
ensuite	ADV	ensuite
à	ADP	à
Ispahan	PROPN	Ispahan
,	PUNCT	,
à	ADP	à
Kandahar	PROPN	Kandahar
,	PUNCT	,
Delhi	PROPN	Delhi
,	PUNCT	,
Agra	PROPN	Agra
:	PUNCT	:
enfin	ADV	enfin
,	PUNCT	,
après	ADP	après
trois	NUM	trois
ans	NOUN	an
de	ADP	de
courses	NOUN	course
,	PUNCT	,
il	PRON	il
arriva	VERB	arriver
sur	ADP	sur
les	DET	le
bords	NOUN	bord
du	ADP	de
Gange	PROPN	Gange
,	PUNCT	,
à	ADP	à
Bénarès	PROPN	Bénarès
,	PUNCT	,
l	DET	l
'	DET	'
Athènes	PROPN	Athènes
des	ADP	de
Indes	PROPN	Indes
,	PUNCT	,
où	PRON	où
il	PRON	il
conféra	VERB	conférer
avec	ADP	avec
les	DET	le
brames	NOUN	brame
.	PUNCT	.
Sa	DET	son
collection	NOUN	collection
d	ADP	d
'	ADP	'
anciennes	ADJ	ancien
éditions	NOUN	édition
,	PUNCT	,
de	ADP	de
livres	NOUN	livre
originaux	ADJ	original
,	PUNCT	,
de	ADP	de
manuscrits	NOUN	manuscrit
rares	ADJ	rare
,	PUNCT	,
de	ADP	de
copies	NOUN	copie
,	PUNCT	,
d	ADP	d
'	ADP	'
extraits	NOUN	extrait
et	CCONJ	et
d	ADP	d
'	ADP	'
annotations	NOUN	annotation
en	ADP	en
tout	DET	tout
genre	NOUN	genre
,	PUNCT	,
se	PRON	se
trouva	VERB	trouver
alors	ADV	alors
la	DET	le
plus	ADV	plus
considérable	ADJ	considérable
qu	PRON	que
'	SCONJ	'
aucun	DET	aucun
particulier	NOUN	particulier
eût	AUX	avoir
jamais	ADV	jamais
faite	VERB	faire
.	PUNCT	.
Il	PRON	il
suffit	VERB	suffire
de	ADP	de
dire	VERB	dire
qu	SCONJ	qu
'	SCONJ	'
elle	PRON	lui
composait	VERB	composer
quatre-vingt-dix	NUM	quatre-vingt-dix
ballots	NOUN	ballot
pesant	VERB	peser
ensemble	ADV	ensemble
neuf	NUM	neuf
mille	NUM	mille
cinq	NUM	cinq
cent	NUM	cent
quarante	NUM	quarante
cinq	NUM	cinq
livres	NOUN	livre
,	PUNCT	,
poids	NOUN	poids
de	ADP	de
troye	PROPN	troye
.	PUNCT	.
Il	PRON	il
était	VERB	être
sur	ADP	sur
le	DET	le
point	NOUN	point
de	ADP	de
s	PRON	s
'	PRON	'
embarquer	VERB	embarquer
pour	ADP	pour
Londres	PROPN	Londres
avec	ADP	avec
une	DET	un
si	ADV	si
riche	ADJ	riche
cargaison	NOUN	cargaison
de	ADP	de
lumières	NOUN	lumière
,	PUNCT	,
plein	ADJ	plein
de	ADP	de
joie	NOUN	joie
d	ADP	d
'	ADP	'
avoir	AUX	avoir
surpassé	VERB	surpasser
les	DET	le
espérances	NOUN	espérance
de	ADP	de
la	DET	le
société	NOUN	société
royale	ADJ	royal
,	PUNCT	,
lorsqu	SCONJ	lorsqu
'	SCONJ	'
une	DET	un
réflexion	NOUN	réflexion
toute	ADV	toute
simple	ADJ	simple
vint	VERB	venir
l	PRON	l
'	PRON	'
accabler	VERB	accabler
de	ADP	de
chagrin	NOUN	chagrin
.	PUNCT	.
Il	PRON	il
pensa	VERB	penser
qu	SCONJ	qu
'	SCONJ	'
après	ADP	après
avoir	AUX	avoir
conféré	VERB	conférer
avec	ADP	avec
les	DET	le
rabbins	NOUN	rabbin
juifs	ADJ	juif
,	PUNCT	,
les	DET	le
ministres	NOUN	ministre
protestants	ADJ	protestant
,	PUNCT	,
les	DET	le
surintendants	NOUN	surintendant
des	ADP	de
églises	NOUN	église
luthériennes	ADJ	luthérien
,	PUNCT	,
les	DET	le
docteurs	NOUN	docteur
catholiques	ADJ	catholique
,	PUNCT	,
les	DET	le
académiciens	NOUN	académicien
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
de	ADP	de
la	DET	le
Crusca	PROPN	Crusca
,	PUNCT	,
des	ADP	de
arcades	NOUN	arcade
,	PUNCT	,
et	CCONJ	et
de	ADP	de
vingt-quatre	NUM	vingt-quatre
autres	NOUN	autre
des	ADP	de
plus	ADV	plus
célèbres	ADJ	célèbre
académies	NOUN	académie
d	ADP	d
'	ADP	'
Italie	PROPN	Italie
,	PUNCT	,
les	DET	le
papas	NOUN	papa
grecs	ADJ	grec
,	PUNCT	,
les	DET	le
molhas	NOUN	molha
turcs	ADJ	turc
,	PUNCT	,
les	DET	le
verbiests	NOUN	verbiest
arméniens	ADJ	arménien
,	PUNCT	,
les	DET	le
seidres	NOUN	seidre
et	CCONJ	et
les	DET	le
casys	NOUN	casy
persans	ADJ	persan
,	PUNCT	,
les	DET	le
scheics	NOUN	scheic
arabes	ADJ	arabe
,	PUNCT	,
les	DET	le
anciens	ADJ	ancien
parsis	NOUN	parsi
,	PUNCT	,
les	DET	le
pandects	NOUN	pandect
indiens	ADJ	indien
,	PUNCT	,
que	SCONJ	que
loin	ADV	loin
d	ADP	d
'	ADP	'
avoir	AUX	avoir
éclairci	VERB	éclaircir
aucune	PRON	aucun
des	ADP	de
trois	NUM	trois
mille	NUM	mille
cinq	NUM	cinq
